"component","route","source","line","interaction","api_candidates","review_flags"
"patient","/(auth)/terms","patient/nabd plus/app/(auth)/terms.tsx","55","</TouchableOpacity>","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","3","import { View, Text, StyleSheet, TouchableOpacity, Animated, Dimensions, Modal, Platform } from 'react-native';","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","26","router.push('/(tabs)');","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","39","if (screen === 'sH') router.push('/(tabs)');","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","40","else if (screen === 's86') router.push('/(auth)/register');","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","41","else if (screen === 's85') router.push('/(auth)/login');","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","93","<TouchableOpacity","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","95","onPress={toggleDark}","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","98","</TouchableOpacity>","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","101","<TouchableOpacity","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","103","onPress={() => setLangModalVisible(true)}","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","109","</TouchableOpacity>","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","113","<TouchableOpacity style={{ flex: 1, backgroundColor: 'rgba(0,0,0,0.5)', justifyContent: 'center', alignItems: 'center' }} activeOpacity={1} onPress={() => setLangModalVisible(false)}>","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","116","<TouchableOpacity","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","118","style={{ paddingVertical: 12, paddingHorizontal: 16, flexDirection: isRTL ? 'row-reverse' : 'row', justifyContent: 'space-between', alignItems: 'center', borderRadius: 8, backgroundColor: lang === l.code ? colors.bg : 't","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","122","</TouchableOpacity>","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","125","</TouchableOpacity>","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","141","<TouchableOpacity","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","143","onPress={handleGuestLogin}","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","147","</TouchableOpacity>","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","149","<TouchableOpacity","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","151","onPress={() => go('s86')}","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","155","</TouchableOpacity>","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","157","<TouchableOpacity","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","159","onPress={() => go('s85')}","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","163","</TouchableOpacity>","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","176","<TouchableOpacity onPress={() => router.push('/(auth)/login')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","178","</TouchableOpacity>","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","182","<TouchableOpacity onPress={() => router.push('/(auth)/login')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#FFFFFF' : '#000000' }]} activeOpacity={0.8}>","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","184","</TouchableOpacity>","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","188","<TouchableOpacity onPress={() => router.push('/(auth)/login')} style={[styles.modernSocialBtn, { backgroundColor: '#FFFC00' }]} activeOpacity={0.8}>","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","190","</TouchableOpacity>","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","193","<TouchableOpacity onPress={() => router.push('/(auth)/login')} style={[styles.modernSocialBtn, { backgroundColor: isDark ? '#1A2540' : '#FFFFFF' }]} activeOpacity={0.8}>","/auth/guest",""
"patient","/(auth)/welcome","patient/nabd plus/app/(auth)/welcome.tsx","195","</TouchableOpacity>","/auth/guest",""
"patient","/(onboarding)","patient/nabd plus/app/(onboarding)/index.tsx","5","View, StyleSheet, Dimensions, TouchableOpacity,","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(onboarding)","patient/nabd plus/app/(onboarding)/index.tsx","87","router.replace('/(onboarding)/language');","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(onboarding)","patient/nabd plus/app/(onboarding)/index.tsx","97","router.replace('/(onboarding)/language');","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(onboarding)","patient/nabd plus/app/(onboarding)/index.tsx","167","<TouchableOpacity onPress={handleSkip} style={styles.skipBtn}>","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(onboarding)","patient/nabd plus/app/(onboarding)/index.tsx","169","</TouchableOpacity>","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(onboarding)","patient/nabd plus/app/(onboarding)/index.tsx","202","<TouchableOpacity onPress={handleNext} activeOpacity={0.85}>","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(onboarding)","patient/nabd plus/app/(onboarding)/index.tsx","215","</TouchableOpacity>","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(onboarding)/language","patient/nabd plus/app/(onboarding)/language.tsx","3","import { View, StyleSheet, TouchableOpacity, ScrollView } from 'react-native';","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(onboarding)/language","patient/nabd plus/app/(onboarding)/language.tsx","38","<TouchableOpacity","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(onboarding)/language","patient/nabd plus/app/(onboarding)/language.tsx","40","onPress={() => setSelected(l.code)}","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(onboarding)/language","patient/nabd plus/app/(onboarding)/language.tsx","51","</TouchableOpacity>","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(onboarding)/language","patient/nabd plus/app/(onboarding)/language.tsx","58","<Button label=""متابعة"" variant=""gradient"" size=""lg"" iconRight=""chevronLeft"" onPress={() => { setLang(selected); router.replace('/(auth)/welcome'); }} />","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(onboarding)/permissions","patient/nabd plus/app/(onboarding)/permissions.tsx","6","TouchableOpacity,","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(onboarding)/permissions","patient/nabd plus/app/(onboarding)/permissions.tsx","74","router.replace(""/(auth)/welcome"");","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(onboarding)/permissions","patient/nabd plus/app/(onboarding)/permissions.tsx","98","<TouchableOpacity","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(onboarding)/permissions","patient/nabd plus/app/(onboarding)/permissions.tsx","101","onPress={() => handleGrant(perm.id)}","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(onboarding)/permissions","patient/nabd plus/app/(onboarding)/permissions.tsx","153","</TouchableOpacity>","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(onboarding)/permissions","patient/nabd plus/app/(onboarding)/permissions.tsx","173","onPress={handleContinue}","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(onboarding)/permissions","patient/nabd plus/app/(onboarding)/permissions.tsx","175","<TouchableOpacity onPress={handleContinue} style={{ marginTop: 8 }}>","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(onboarding)/permissions","patient/nabd plus/app/(onboarding)/permissions.tsx","179","</TouchableOpacity>","","تفاعلات دون عقد API حرفي في الملف"
"patient","/(tabs)/consultations","patient/nabd plus/app/(tabs)/consultations/index.tsx","3","import { View, Text, Image, StyleSheet, TouchableOpacity, ScrollView, ActivityIndicator, TextInput, Modal } from 'react-native';","/providers?type=doctor","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(tabs)/consultations","patient/nabd plus/app/(tabs)/consultations/index.tsx","19","router.push(`/consultations/doctor/${params?.doc?.id || params?.id || 'd1'}`);","/providers?type=doctor","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(tabs)/consultations","patient/nabd plus/app/(tabs)/consultations/index.tsx","21","router.push('/ai-assistant');","/providers?type=doctor","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(tabs)/consultations","patient/nabd plus/app/(tabs)/consultations/index.tsx","180","<TouchableOpacity","/providers?type=doctor","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
"patient","/(tabs)/consultations","patient/nabd plus/app/(tabs)/consultations/index.tsx","183","onPress={() => setShowFilter(true)}","/providers?type=doctor","مؤشر بيانات بديلة/محاكاة يحتاج مراجعة"
