component	file	line	endpoints	classification	marker
patient	patient-app/app/(tabs)/consultations/index.tsx	520		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => setShowInsModal(false)}>
patient	patient-app/app/(tabs)/consultations/index.tsx	530		UI_ACTION_REVIEW	onPress={() => { setInsCompany(comp); if (comp === 'الكل') { setInsClass('الكل'); setShowInsModal(false); } else { setStepIns(2); setInsClass(saudiInsurances[comp][0]); }
patient	patient-app/app/(tabs)/consultations/index.tsx	539		UI_ACTION_REVIEW	onPress={() => { setInsClass(cls); setShowInsModal(false); }} style={{ padding: 16, backgroundColor: insClass === cls ? resolveColor('var(--p)') : colors.s, borderRadius: 12, marg
patient	patient-app/app/(tabs)/consultations/index.tsx	582		UI_ACTION_REVIEW	style={{ backgroundColor: resolveColor('var(--p)'), width: '100%', paddingVertical: 16, borderRadius: 16, alignItems: 'center', marginTop: 12 }} onPress={() => setShowOnboarding(f
patient	patient-app/app/(tabs)/diagnostics.tsx	30		UI_ACTION_REVIEW	const { width } = Dimensions.get('window');
patient	patient-app/app/(tabs)/diagnostics.tsx	32		UI_ACTION_REVIEW	import { apiFetch } from '../../src/utils/api';
patient	patient-app/app/(tabs)/diagnostics.tsx	56	/labs/packages	WIRED_CANDIDATE	apiFetch('/labs/packages').catch(() => ({ data: [] })),
patient	patient-app/app/(tabs)/diagnostics.tsx	57	/labs/services	WIRED_CANDIDATE	apiFetch('/labs/services').catch(() => ({ data: [] })),
patient	patient-app/app/(tabs)/diagnostics.tsx	58	/radiology/services	WIRED_CANDIDATE	apiFetch('/radiology/services').catch(() => ({ data: [] })),
patient	patient-app/app/(tabs)/diagnostics.tsx	59	/providers?type=lab	WIRED_CANDIDATE	apiFetch('/providers?type=lab').catch(() => ({ data: [] }))
patient	patient-app/app/(tabs)/diagnostics.tsx	93	/diagnostics/orders	WIRED_CANDIDATE	onPress={() => (router.push as any)('/diagnostics/orders')}
patient	patient-app/app/(tabs)/diagnostics.tsx	115		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => setSearchQuery('')} style={{ marginHorizontal: 8 }}>
patient	patient-app/app/(tabs)/diagnostics.tsx	119		UI_ACTION_REVIEW	<TouchableOpacity onPress={() => setShowFilters(true)}>
patient	patient-app/app/(tabs)/diagnostics.tsx	128		UI_ACTION_REVIEW	onPress={() => setMainTab('labs')}
patient	patient-app/app/(tabs)/diagnostics.tsx	136		UI_ACTION_REVIEW	onPress={() => setMainTab('radiology')}
patient	patient-app/app/(tabs)/diagnostics.tsx	147		UI_ACTION_REVIEW	onPress={() => setServiceType('home')}
patient	patient-app/app/(tabs)/diagnostics.tsx	155		UI_ACTION_REVIEW	onPress={() => setServiceType('clinic')}
patient	patient-app/app/(tabs)/diagnostics.tsx	175	/diagnostics/insurance-upload	WIRED_CANDIDATE	<TouchableOpacity style={styles.insuranceCard} onPress={() => (router.push as any)('/diagnostics/insurance-upload')}>
patient	patient-app/app/(tabs)/diagnostics.tsx	194	/diagnostics/packages	WIRED_CANDIDATE	<TouchableOpacity onPress={() => (router.push as any)('/diagnostics/packages')}>
patient	patient-app/app/(tabs)/diagnostics.tsx	202		UI_ACTION_REVIEW	<TouchableOpacity style={[styles.pkgCard, { backgroundColor: colors.surface, borderColor: colors.border }]} onPress={() => (router.push as any)(`/diagnostics/package-detail?id=${p
patient	patient-app/app/(tabs)/diagnostics.tsx	233		UI_ACTION_REVIEW	<TouchableOpacity style={[styles.testItem, { backgroundColor: colors.surface, borderColor: colors.border }]} onPress={() => (router.push as any)(`/diagnostics/test-detail?id=${tes
patient	patient-app/app/(tabs)/diagnostics.tsx	253		UI_ACTION_REVIEW	onPress={() => addItem({ id: test.id, name: test.name, price: typeof test.price === 'string' ? parseInt(test.price) : test.price, kind: 'lab' })}
patient	patient-app/app/(tabs)/diagnostics.tsx	274		UI_ACTION_REVIEW	<TouchableOpacity style={[styles.labCard, { backgroundColor: colors.surface, borderColor: colors.border }]} onPress={() => (router.push as any)(`/diagnostics/lab/${lab.id}`)}>
patient	patient-app/app/(tabs)/diagnostics.tsx	289		UI_ACTION_REVIEW	<TouchableOpacity style={[styles.testItem, { backgroundColor: colors.surface, borderColor: colors.border }]} onPress={() => (router.push as any)(`/diagnostics/test-detail?id=${tes
patient	patient-app/app/(tabs)/diagnostics.tsx	309		UI_ACTION_REVIEW	onPress={() => addItem({ id: test.id, name: test.name, price: parseInt(test.price), kind: 'lab' })}
patient	patient-app/app/(tabs)/diagnostics.tsx	339		UI_ACTION_REVIEW	<TouchableOpacity style={[styles.testItem, { backgroundColor: colors.surface, borderColor: colors.border }]} onPress={() => (router.push as any)(`/diagnostics/test-detail?id=${rad
patient	patient-app/app/(tabs)/diagnostics.tsx	352	/diagnostics/checkout	WIRED_CANDIDATE	onPress={() => (router.push as any)({ pathname: '/diagnostics/checkout', params: { serviceType, labName: rad.name, total: '٢٥٠', isRadiology: 'true', radiologyType: rad.name }
patient	patient-app/app/(tabs)/diagnostics.tsx	372	/diagnostics/cart	WIRED_CANDIDATE	onPress={() => (router.push as any)('/diagnostics/cart')}
patient	patient-app/app/(tabs)/diagnostics.tsx	388		UI_ACTION_REVIEW	<TouchableOpacity style={{ flex: 1, backgroundColor: 'rgba(0,0,0,0.5)' }} onPress={() => setShowFilters(false)} />
patient	patient-app/app/(tabs)/diagnostics.tsx	406		UI_ACTION_REVIEW	onPress={() => { setActiveFilter(f.id); setShowFilters(false); }} style={[styles.filterOptionRow, { borderColor: activeFilter === f.id ? colors.primary : colors.border, background
patient	patient-app/app/(tabs)/health.tsx	30		UI_ACTION_REVIEW	"import { apiFetch } from ""../../src/utils/api"";"
patient	patient-app/app/(tabs)/health.tsx	97	/health/vitals/summary	WIRED_CANDIDATE	"apiFetch(""/health/vitals/summary"").catch(() => null),"
patient	patient-app/app/(tabs)/health.tsx	98	/users/me/profile	WIRED_CANDIDATE	"apiFetch(""/users/me/profile"").catch(() => null),"
patient	patient-app/app/(tabs)/health.tsx	99	/home/upcoming-appointment	PLACEHOLDER_CANDIDATE	apiFetch('/home/upcoming-appointment').catch(() => null)
patient	patient-app/app/(tabs)/health.tsx	107		FAIL_CLOSED_REVIEW	"const waterRes = await apiFetch(`/nutrition/daily-summary?date=${new Date().toISOString().split(""T"")[0]}`).catch(() => null);"
patient	patient-app/app/(tabs)/health.tsx	144	/health/health-id	WIRED_CANDIDATE	"onPress={() => router.push(""/health/health-id"")}"
patient	patient-app/app/(tabs)/health.tsx	155	/health/edit-profile	WIRED_CANDIDATE	"onPress={() => router.push(""/health/edit-profile"")}"
patient	patient-app/app/(tabs)/health.tsx	176		UI_ACTION_REVIEW	onPress={() => router.push(q.route as any)}
patient	patient-app/app/(tabs)/health.tsx	205	/health/vitals	WIRED_CANDIDATE	"onAction={() => router.push(""/health/vitals"")}"
patient	patient-app/app/(tabs)/health.tsx	215	/health/vitals	WIRED_CANDIDATE	"onPress={() => router.push(""/health/vitals"")}"
patient	patient-app/app/(tabs)/health.tsx	262	/(tabs	WIRED_CANDIDATE	"onPress={() => router.push(""/(tabs)/nursing"")}"
patient	patient-app/app/(tabs)/health.tsx	291	/consultations/appointments	WIRED_CANDIDATE	"onAction={() => router.push(""/consultations/appointments"")}"
patient	patient-app/app/(tabs)/health.tsx	294		UI_ACTION_REVIEW	onPress={() =>
patient	patient-app/app/(tabs)/health.tsx	295		UI_ACTION_REVIEW	router.push({
patient	patient-app/app/(tabs)/index.tsx	20		UI_ACTION_REVIEW	import { apiFetch } from '../../src/utils/api';
patient	patient-app/app/(tabs)/index.tsx	22		UI_ACTION_REVIEW	const { width } = Dimensions.get('window');
patient	patient-app/app/(tabs)/index.tsx	65		UI_ACTION_REVIEW	if (m[screen]) router.push(m[screen]);
patient	patient-app/app/(tabs)/index.tsx	84	/home/offers	WIRED_CANDIDATE	apiFetch('/home/offers').catch(() => null),
patient	patient-app/app/(tabs)/index.tsx	85	/home/upcoming-appointment	PLACEHOLDER_CANDIDATE	apiFetch('/home/upcoming-appointment').catch(() => null),
patient	patient-app/app/(tabs)/index.tsx	86	/users/me/profile	WIRED_CANDIDATE	apiFetch('/users/me/profile').catch(() => null)
patient	patient-app/app/(tabs)/index.tsx	110		UI_ACTION_REVIEW	router.push({
patient	patient-app/app/(tabs)/index.tsx	189	/search	WIRED_CANDIDATE	<TouchableOpacity activeOpacity={0.9} style={[styles.homeSearchBar, { borderColor: colors.bd, backgroundColor: colors.s }]} onPress={() => router.push('/search')}>
patient	patient-app/app/(tabs)/index.tsx	198		UI_ACTION_REVIEW	<TouchableOpacity activeOpacity={0.8} style={[styles.healthBanner, { borderColor: resolveColor('var(--prs)') }]} onPress={() => go('s19', 'تذكير صحي')}>
