component	file	line	raw	normalized	review_class
patient	patient-app/app/insurance/hub.tsx	303	/insurance/benefits-summary	/insurance/benefits-summary	API_CANDIDATE_REVIEW
patient	patient-app/app/insurance/hub.tsx	335	/insurance/policy-detail	/insurance/policy-detail	API_CANDIDATE_REVIEW
patient	patient-app/app/insurance/hub.tsx	360	/insurance/add-policy	/insurance/add-policy	API_CANDIDATE_REVIEW
patient	patient-app/app/insurance/hub.tsx	368	/insurance/policy-detail	/insurance/policy-detail	API_CANDIDATE_REVIEW
patient	patient-app/app/insurance/hub.tsx	393	/insurance/claim-tracking	/insurance/claim-tracking	API_CANDIDATE_REVIEW
patient	patient-app/app/insurance/hub.tsx	405	/insurance/claim-tracking	/insurance/claim-tracking	API_CANDIDATE_REVIEW
patient	patient-app/app/insurance/network-providers.tsx	49	/map	/map	API_CANDIDATE_REVIEW
patient	patient-app/app/insurance/payment-split.tsx	79	/insurance/payment-confirm	/insurance/payment-confirm	API_CANDIDATE_REVIEW
patient	patient-app/app/insurance/payment-split.tsx	91	/consultations/booking-success	/consultations/booking-success	API_CANDIDATE_REVIEW
patient	patient-app/app/insurance/payment-split.tsx	93	/pharmacy/order-tracking	/pharmacy/order-tracking	API_CANDIDATE_REVIEW
patient	patient-app/app/insurance/payment-split.tsx	95	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/insurance/payment-split.tsx	148	/insurance/hub	/insurance/hub	API_CANDIDATE_REVIEW
patient	patient-app/app/map/index.tsx	593	/health/edit-profile	/health/edit-profile	API_CANDIDATE_REVIEW
patient	patient-app/app/map/index.tsx	617	/consultations/doctor-profile	/consultations/doctor-profile	API_CANDIDATE_REVIEW
patient	patient-app/app/map/index.tsx	619	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/map/index.tsx	621	/diagnostics/booking-confirm	/diagnostics/booking-confirm	API_CANDIDATE_REVIEW
patient	patient-app/app/map/index.tsx	623	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/map/index.tsx	625	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/maternity/baby-growth.tsx	92	/maternity/vaccines	/maternity/vaccines	API_CANDIDATE_REVIEW
patient	patient-app/app/maternity/baby-growth.tsx	284	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/maternity/hub.tsx	83	/maternity/maternity-setup	/maternity/maternity-setup	API_CANDIDATE_REVIEW
patient	patient-app/app/maternity/hub.tsx	271	/maternity/baby-development	/maternity/baby-development	API_CANDIDATE_REVIEW
patient	patient-app/app/maternity/hub.tsx	271	/maternity/ovulation-tracker	/maternity/ovulation-tracker	API_CANDIDATE_REVIEW
patient	patient-app/app/maternity/hub.tsx	367	/maternity/ovulation-tracker	/maternity/ovulation-tracker	API_CANDIDATE_REVIEW
patient	patient-app/app/maternity/hub.tsx	399	/maternity/baby-development	/maternity/baby-development	API_CANDIDATE_REVIEW
patient	patient-app/app/maternity/hub.tsx	471	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/maternity/hub.tsx	520	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/maternity/maternity-setup.tsx	189	/maternity/hub	/maternity/hub	API_CANDIDATE_REVIEW
patient	patient-app/app/maternity/maternity-setup.tsx	195	/maternity/hub	/maternity/hub	API_CANDIDATE_REVIEW
patient	patient-app/app/maternity/ovulation-tracker.tsx	246	/maternity/hub	/maternity/hub	API_CANDIDATE_REVIEW
patient	patient-app/app/maternity/pregnancy-tracker.tsx	295	/(tabs	/(tabs	NAVIGATION_OR_TEMPLATE
patient	patient-app/app/maternity/pregnancy-tracker.tsx	296	/nutrition/ai-plan-builder	/nutrition/ai-plan-builder	API_CANDIDATE_REVIEW
patient	patient-app/app/mental-health/crisis-support.tsx	40	/mental-health/hotlines	/mental-health/hotlines	API_CANDIDATE_REVIEW
patient	patient-app/app/mental-health/meditation.tsx	42	/mental-health/meditation/sessions	/mental-health/meditation/sessions	API_CANDIDATE_REVIEW
