file	line	method	endpoint	source
patient-app/nabd_plus/app/health/medication-reminder-list.tsx	52	GET	/health/medications/reminders	apiFetch
patient-app/nabd_plus/app/health/prescriptions.tsx	26	GET	/health/prescriptions	apiFetch
patient-app/nabd_plus/app/health/refills.tsx	26	GET	/health/reminders?active=1	apiFetch
patient-app/nabd_plus/app/health/refills.tsx	67	POST	/health/reminders/${id}/refill	apiFetch
patient-app/nabd_plus/app/health/reminders.tsx	44	POST	/health/reminders	apiFetch
patient-app/nabd_plus/app/health/reminders.tsx	62	POST	/health/reminders/${id}/log	apiFetch
patient-app/nabd_plus/app/health/reports.tsx	25	GET	/health/reports	apiFetch
patient-app/nabd_plus/app/health/sleep-score.tsx	34	GET	/health/sleep?limit=30	apiFetch
patient-app/nabd_plus/app/health/sleep-tracker.tsx	36	GET	/health/sleep?limit=30	apiFetch
patient-app/nabd_plus/app/health/sleep-tracker.tsx	71	POST	/health/sleep	apiFetch
patient-app/nabd_plus/app/health/smart-reminders.tsx	52	PATCH	/health/reminders	apiFetch
patient-app/nabd_plus/app/health/smart-reminders.tsx	73	PATCH	/health/reminders/${id}	apiFetch
patient-app/nabd_plus/app/health/smart-reminders.tsx	92	DELETE	/health/reminders/${id}	apiFetch
patient-app/nabd_plus/app/health/smart-reminders.tsx	109	POST	/health/reminders	apiFetch
patient-app/nabd_plus/app/health/trends.tsx	141	GET	/health/trends	apiFetch
patient-app/nabd_plus/app/health/vitals-log.tsx	56	GET	/health/vitals/chart?vital=${vital}	apiFetch
patient-app/nabd_plus/app/health/vitals-log.tsx	57	GET	/health/vitals/recent?vital=${vital}	apiFetch
patient-app/nabd_plus/app/health/vitals-log.tsx	95	POST	/health/vitals	apiFetch
patient-app/nabd_plus/app/health/vitals.tsx	87	GET	/health/vitals/summary	apiFetch
patient-app/nabd_plus/app/health/wearables.tsx	45	POST	/wearables/devices	apiFetch
patient-app/nabd_plus/app/health/wearables.tsx	46	POST	/wearables/data	apiFetch
patient-app/nabd_plus/app/health/wearables.tsx	62	POST	/wearables/devices	apiFetch
patient-app/nabd_plus/app/insurance/add-policy.tsx	29	POST	/insurance/companies	apiFetch
patient-app/nabd_plus/app/insurance/add-policy.tsx	44	POST	/insurance/ocr-extract	apiFetch
patient-app/nabd_plus/app/insurance/add-policy.tsx	78	POST	/insurance/save-policy	apiFetch
patient-app/nabd_plus/app/insurance/approval-pending.tsx	32	GET	/insurance/requests/${params.requestId}	apiFetch
patient-app/nabd_plus/app/insurance/approval-pending.tsx	34	GET	/insurance/requests/my	apiFetch
patient-app/nabd_plus/app/insurance/approval-pending.tsx	48	GET	/users/me/profile	apiFetch
patient-app/nabd_plus/app/insurance/benefits-summary.tsx	21	GET	/insurance/benefits-summary	apiFetch
patient-app/nabd_plus/app/insurance/claim-tracking.tsx	30	GET	/insurance/claims/my	apiFetch
