component	file	line	raw	normalized	classification	backend_candidates
patient	patient-app/app/diagnostics/insurance-upload.tsx	294	/orders/create	/orders/create	MATCHED_ROUTE	POST /orders/create (backend/src/modules/orders/orders.controller.ts:13)|GET /orders/:id (backend/src/modules/orders/orders.controller.ts:49)
patient	patient-app/app/diagnostics/lab-comparison.tsx	87	/diagnostics/cart	/diagnostics/cart	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/diagnostics/my-results.tsx	26	/labs/bookings/mine	/labs/bookings/mine	MATCHED_ROUTE	GET /labs/bookings/mine (backend/src/modules/labs/labs.controller.ts:41)|GET /labs/bookings/:id (backend/src/modules/labs/labs.controller.ts:44)
patient	patient-app/app/diagnostics/order/[id].tsx	36	/orders/mine	/orders/mine	MATCHED_ROUTE	GET /orders/mine (backend/src/modules/orders/orders.controller.ts:19)|GET /orders/:id (backend/src/modules/orders/orders.controller.ts:49)
patient	patient-app/app/diagnostics/order/[id].tsx	54	/orders/mine	/orders/mine	MATCHED_ROUTE	GET /orders/mine (backend/src/modules/orders/orders.controller.ts:19)|GET /orders/:id (backend/src/modules/orders/orders.controller.ts:49)
patient	patient-app/app/diagnostics/order/[id].tsx	54	/cancel	/cancel	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/diagnostics/order/[id].tsx	69	/orders/mine	/orders/mine	MATCHED_ROUTE	GET /orders/mine (backend/src/modules/orders/orders.controller.ts:19)|GET /orders/:id (backend/src/modules/orders/orders.controller.ts:49)
patient	patient-app/app/diagnostics/order/[id].tsx	69	/report.pdf	/report.pdf	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/diagnostics/orders.tsx	28	/labs/bookings/mine	/labs/bookings/mine	MATCHED_ROUTE	GET /labs/bookings/mine (backend/src/modules/labs/labs.controller.ts:41)|GET /labs/bookings/:id (backend/src/modules/labs/labs.controller.ts:44)
patient	patient-app/app/diagnostics/packages.tsx	27	/labs/packages	/labs/packages	MATCHED_ROUTE	GET /labs/packages (backend/src/modules/labs/labs.controller.ts:29)
patient	patient-app/app/diagnostics/packages.tsx	28	/labs/categories	/labs/categories	MATCHED_ROUTE	GET /labs/categories (backend/src/modules/labs/labs.controller.ts:32)
patient	patient-app/app/diagnostics/results-history.tsx	20	/labs/bookings/mine	/labs/bookings/mine	MATCHED_ROUTE	GET /labs/bookings/mine (backend/src/modules/labs/labs.controller.ts:41)|GET /labs/bookings/:id (backend/src/modules/labs/labs.controller.ts:44)
patient	patient-app/app/diagnostics/results-history.tsx	72	/reports/view-report	/reports/view-report	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/diagnostics/sample-tracking.tsx	37	/labs/bookings/mine	/labs/bookings/mine	MATCHED_ROUTE	GET /labs/bookings/mine (backend/src/modules/labs/labs.controller.ts:41)|GET /labs/bookings/:id (backend/src/modules/labs/labs.controller.ts:44)
patient	patient-app/app/diagnostics/sample-tracking.tsx	93	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/diagnostics/sample-tracking.tsx	155	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/diagnostics/search.tsx	28	/labs/services	/labs/services	MATCHED_ROUTE	GET /labs/services (backend/src/modules/labs/labs.controller.ts:9)
patient	patient-app/app/drug-scanner/index.tsx	35	/health/medications	/health/medications	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/drug-scanner/index.tsx	47	/ai/drug-interactions	/ai/drug-interactions	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/drug-scanner/index.tsx	199	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/emergency/sos-active.tsx	24	/emergency/my-active	/emergency/my-active	MATCHED_ROUTE	GET /emergency/my-active (backend/src/modules/emergency/emergency.controller.ts:22)|GET /emergency/:id (backend/src/modules/emergency/emergency.controller.ts:28)
patient	patient-app/app/emergency/sos-active.tsx	113	/(tabs	/(tabs	UNMATCHED_ROUTE_REVIEW	
patient	patient-app/app/emergency/sos.tsx	57	/emergency/trigger	/emergency/trigger	MATCHED_ROUTE	POST /emergency/trigger (backend/src/modules/emergency/emergency.controller.ts:11)|GET /emergency/:id (backend/src/modules/emergency/emergency.controller.ts:28)
patient	patient-app/app/emergency/sos.tsx	205	/emergency/tracking	/emergency/tracking	MATCHED_ROUTE	GET /emergency/:id (backend/src/modules/emergency/emergency.controller.ts:28)
patient	patient-app/app/emergency/tracking.tsx	31	/emergency/tracking	/emergency/tracking	MATCHED_ROUTE	GET /emergency/:id (backend/src/modules/emergency/emergency.controller.ts:28)
patient	patient-app/app/family/calendar.tsx	55	/family/calendar	/family/calendar	MATCHED_ROUTE	GET /family/calendar (backend/src/modules/family/family.controller.ts:73)
